backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,raw_error_rate,idle_error_rate,corrected_error_rate
custom_full,300,gross,bposd,12,12,1000,modsi1000,0.004,0.914,0.000,0.000
custom_full,300,gross,bposd,12,12,1000,modsi1000,0.006,0.964,0.000,0.001
custom_full,300,gross,bposd,12,12,1000,modsi1000,0.008,0.992,0.000,0.005
custom_full,300,color,bposd,11,11,1000,modsi1000,0.004,0.303,0.000,0.000
custom_full,300,steane,bposd,9,9,1000,modsi1000,0.004,0.056,0.000,0.044
custom_full,300,steane,bposd,9,9,1000,modsi1000,0.006,0.076,0.000,0.065
custom_full,300,color,bposd,11,11,1000,modsi1000,0.006,0.406,0.000,0.002
custom_full,300,steane,bposd,9,9,1000,modsi1000,0.008,0.089,0.000,0.098
custom_full,300,color,bposd,11,11,1000,modsi1000,0.008,0.415,0.000,0.006
custom_full,300,surface,bposd,11,11,1000,modsi1000,0.004,0.290,0.000,0.000
custom_full,300,surface,bposd,11,11,1000,modsi1000,0.006,0.385,0.000,0.001
custom_full,300,surface,bposd,11,11,1000,modsi1000,0.008,0.451,0.000,0.002
custom_full,300,hh,bposd,11,11,1000,modsi1000,0.004,0.480,0.000,0.003
custom_full,300,hh,bposd,11,11,1000,modsi1000,0.006,0.525,0.000,0.045
custom_full,300,hh,bposd,11,11,1000,modsi1000,0.008,0.499,0.000,0.162
custom_full,300,bacon,bposd,17,17,1000,modsi1000,0.004,0.524,0.000,0.106
custom_full,300,bacon,bposd,17,17,1000,modsi1000,0.008,0.527,0.000,0.367
custom_full,300,bacon,bposd,17,17,1000,modsi1000,0.006,0.504,0.000,0.301
