backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method
custom_full,300,gross,bposd,12,12,1000,modsi1000,0.002,0.000,N/A,N/A,N/A
custom_full,300,steane,bposd,9,9,1000,modsi1000,0.002,0.097,N/A,N/A,N/A
custom_full,300,surface,bposd,11,11,1000,modsi1000,0.002,0.000,N/A,N/A,N/A
custom_full,300,hh,bposd,11,11,1000,modsi1000,0.002,0.008,N/A,N/A,N/A
custom_cube,300,steane,bposd,9,9,1000,modsi1000,0.002,0.098,N/A,N/A,N/A
custom_grid,300,steane,bposd,9,9,1000,modsi1000,0.002,0.054,N/A,N/A,N/A
custom_full,300,color,bposd,11,11,1000,modsi1000,0.002,0.005,N/A,N/A,N/A
custom_full,300,bacon,bposd,17,17,1000,modsi1000,0.002,0.309,N/A,N/A,N/A
custom_cube,300,gross,bposd,12,12,1000,modsi1000,0.002,0.985,N/A,N/A,N/A
custom_grid,300,gross,bposd,12,12,1000,modsi1000,0.002,1.000,N/A,N/A,N/A
custom_grid,300,surface,bposd,11,11,1000,modsi1000,0.002,0.057,N/A,N/A,N/A
custom_grid,300,hh,bposd,11,11,1000,modsi1000,0.002,0.386,N/A,N/A,N/A
custom_cube,300,surface,bposd,11,11,1000,modsi1000,0.002,0.043,N/A,N/A,N/A
custom_grid,300,bacon,bposd,17,17,1000,modsi1000,0.002,0.480,N/A,N/A,N/A
custom_cube,300,hh,bposd,11,11,1000,modsi1000,0.002,0.381,N/A,N/A,N/A
custom_cube,300,bacon,bposd,17,17,1000,modsi1000,0.002,0.506,N/A,N/A,N/A
custom_grid,300,color,bposd,11,11,1000,modsi1000,0.002,0.340,N/A,N/A,N/A
custom_cube,300,color,bposd,11,11,1000,modsi1000,0.002,0.339,N/A,N/A,N/A
