backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method
custom_full,300,bacon,bposd,17,17,1000,modsi1000,0.002,0.014,N/A,N/A,N/A
custom_grid,300,bacon,bposd,17,17,1000,modsi1000,0.002,0.099,N/A,N/A,N/A
custom_cube,300,bacon,bposd,17,17,1000,modsi1000,0.002,0.104,N/A,N/A,N/A
custom_full,300,gross,bposd,12,12,1000,modsi1000,0.002,0.016,N/A,N/A,N/A
custom_full,300,steane,bposd,9,9,1000,modsi1000,0.002,0.083,N/A,N/A,N/A
custom_full,300,surface,bposd,11,11,1000,modsi1000,0.002,0.000,N/A,N/A,N/A
custom_full,300,hh,bposd,11,11,1000,modsi1000,0.002,0.124,N/A,N/A,N/A
custom_full,300,color,bposd,11,11,1000,modsi1000,0.002,0.017,N/A,N/A,N/A
custom_grid,300,steane,bposd,9,9,1000,modsi1000,0.002,0.100,N/A,N/A,N/A
custom_cube,300,steane,bposd,9,9,1000,modsi1000,0.002,0.166,N/A,N/A,N/A
custom_grid,300,surface,bposd,11,11,1000,modsi1000,0.002,0.139,N/A,N/A,N/A
custom_grid,300,hh,bposd,11,11,1000,modsi1000,0.002,0.446,N/A,N/A,N/A
custom_cube,300,gross,bposd,12,12,1000,modsi1000,0.002,0.999,N/A,N/A,N/A
custom_cube,300,surface,bposd,11,11,1000,modsi1000,0.002,0.099,N/A,N/A,N/A
custom_grid,300,gross,bposd,12,12,1000,modsi1000,0.002,1.000,N/A,N/A,N/A
custom_cube,300,hh,bposd,11,11,1000,modsi1000,0.002,0.440,N/A,N/A,N/A
custom_grid,300,color,bposd,11,11,1000,modsi1000,0.002,0.489,N/A,N/A,N/A
custom_cube,300,color,bposd,11,11,1000,modsi1000,0.002,0.412,N/A,N/A,N/A
