backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method
real_flamingo,,bacon,bposd,19,19,1000,real_flamingo,1,0.513,N/A,N/A,N/A
real_flamingo,,surface,bposd,13,13,1000,real_flamingo,1,0.481,N/A,N/A,N/A
real_flamingo,,color,bposd,13,13,1000,real_flamingo,1,0.502,N/A,N/A,N/A
real_flamingo,,steane,bposd,9,9,1000,real_flamingo,1,0.079,N/A,N/A,N/A
real_flamingo,,hh,bposd,11,11,1000,real_flamingo,1,0.496,N/A,N/A,N/A
real_flamingo,,gross,bposd,12,12,1000,real_flamingo,1,1.000,N/A,N/A,N/A
real_flamingo_1_qpu,,surface,bposd,7,7,1000,real_flamingo,1,0.033000,N/A,N/A,N/A
real_flamingo_1_qpu,,color,bposd,7,7,1000,real_flamingo,1,0.191000,N/A,N/A,N/A
real_flamingo_1_qpu,,hh,bposd,7,7,1000,real_flamingo,1,0.192000,N/A,N/A,N/A
real_flamingo_1_qpu,,bacon,bposd,11,11,1000,real_flamingo,1,0.420000,N/A,N/A,N/A
real_flamingo_1_qpu,,steane,bposd,9,9,1000,real_flamingo,1,0.063000,N/A,N/A,N/A
real_flamingo_1_qpu,,gross,bposd,12,12,1000,real_flamingo,1,1.000000,N/A,N/A,N/A
real_flamingo,,steane,bposd,9,9,1000,real_flamingo,10,0.075000,N/A,N/A,N/A
real_flamingo,,hh,bposd,11,11,1000,real_flamingo,10,0.439000,N/A,N/A,N/A
real_flamingo,,surface,bposd,13,13,1000,real_flamingo,10,0.301000,N/A,N/A,N/A
real_flamingo,,color,bposd,13,13,1000,real_flamingo,10,0.503000,N/A,N/A,N/A
real_flamingo,,bacon,bposd,19,19,1000,real_flamingo,10,0.502000,N/A,N/A,N/A
real_flamingo,,gross,bposd,12,12,1000,real_flamingo,10,1.000000,N/A,N/A,N/A
real_flamingo_1_qpu,,surface,bposd,7,7,1000,real_flamingo,10,0.009000,N/A,N/A,N/A
real_flamingo_1_qpu,,color,bposd,7,7,1000,real_flamingo,10,0.183000,N/A,N/A,N/A
real_flamingo_1_qpu,,hh,bposd,7,7,1000,real_flamingo,10,0.119000,N/A,N/A,N/A
real_flamingo_1_qpu,,bacon,bposd,11,11,1000,real_flamingo,10,0.339000,N/A,N/A,N/A
real_flamingo_1_qpu,,steane,bposd,9,9,1000,real_flamingo,10,0.054000,N/A,N/A,N/A
real_flamingo_1_qpu,,gross,bposd,12,12,1000,real_flamingo,10,1.000000,N/A,N/A,N/A
