backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method,gate_overhead,tq_gate_overhead,swap_overhead
real_nighthawk,,steane,bposd,9,9,1000,real_flamingo,10,0.021000,N/A,sabre,N/A,0,0,5608
real_nighthawk,,steane,bposd,9,9,1000,real_flamingo,1,0.058000,N/A,sabre,N/A,0,0,5786
real_nighthawk,,steane,bposd,9,9,1000,real_flamingo,10,0.042000,N/A,basic,N/A,0,0,5699
real_nighthawk,,steane,bposd,9,9,1000,real_flamingo,1,0.040000,N/A,basic,N/A,0,0,5699
real_nighthawk,,hh,bposd,9,9,1000,real_flamingo,10,0.002000,N/A,sabre,N/A,0,0,6021
real_nighthawk,,hh,bposd,9,9,1000,real_flamingo,1,0.012000,N/A,sabre,N/A,0,0,6164
real_nighthawk,,hh,bposd,9,9,1000,real_flamingo,10,0.006000,N/A,basic,N/A,0,0,7969
real_nighthawk,,hh,bposd,9,9,1000,real_flamingo,1,0.028000,N/A,basic,N/A,0,0,7969
real_nighthawk,,surface,bposd,11,11,1000,real_flamingo,10,0.000000,N/A,sabre,N/A,0,0,7985
real_nighthawk,,gross,bposd,12,12,1000,real_flamingo,10,0.000000,N/A,sabre,N/A,0,0,18503
real_nighthawk,,gross,bposd,12,12,1000,real_flamingo,1,0.006000,N/A,sabre,N/A,0,0,18491
real_nighthawk,,surface,bposd,11,11,1000,real_flamingo,1,0.000000,N/A,sabre,N/A,0,0,8108
real_nighthawk,,color,bposd,11,11,1000,real_flamingo,10,0.003000,N/A,sabre,N/A,0,0,9614
real_nighthawk,,surface,bposd,11,11,1000,real_flamingo,10,0.002000,N/A,basic,N/A,0,0,11779
real_nighthawk,,color,bposd,11,11,1000,real_flamingo,1,0.014000,N/A,sabre,N/A,0,0,9601
real_nighthawk,,surface,bposd,11,11,1000,real_flamingo,1,0.005000,N/A,basic,N/A,0,0,11779
real_nighthawk,,color,bposd,11,11,1000,real_flamingo,10,0.007000,N/A,basic,N/A,0,0,11918
real_nighthawk,,color,bposd,11,11,1000,real_flamingo,1,0.021000,N/A,basic,N/A,0,0,11918
real_nighthawk,,gross,bposd,12,12,1000,real_flamingo,10,0.084000,N/A,basic,N/A,0,0,27288
real_nighthawk,,gross,bposd,12,12,1000,real_flamingo,1,0.394000,N/A,basic,N/A,0,0,27288
real_nighthawk,,bacon,bposd,17,17,1000,real_flamingo,10,0.522000,N/A,sabre,N/A,0,0,0
real_nighthawk,,bacon,bposd,17,17,1000,real_flamingo,1,0.524000,N/A,sabre,N/A,0,0,0
real_nighthawk,,bacon,bposd,17,17,1000,real_flamingo,10,0.510000,N/A,basic,N/A,0,0,0
real_nighthawk,,bacon,bposd,17,17,1000,real_flamingo,1,0.510000,N/A,basic,N/A,0,0,0
real_nighthawk_1_qpu,,bacon,bposd,11,11,1000,real_flamingo,10,0.052000,N/A,sabre,N/A,0,0,4417
real_nighthawk_1_qpu,,bacon,bposd,11,11,1000,real_flamingo,1,0.155000,N/A,sabre,N/A,0,0,4298
real_nighthawk_1_qpu,,bacon,bposd,11,11,1000,real_flamingo,10,0.081000,N/A,basic,N/A,0,0,7315
real_nighthawk_1_qpu,,bacon,bposd,11,11,1000,real_flamingo,1,0.256000,N/A,basic,N/A,0,0,7315
real_nighthawk_1_qpu,,surface,bposd,7,7,1000,real_flamingo,10,0.001000,N/A,sabre,N/A,0,0,2027
real_nighthawk_1_qpu,,surface,bposd,7,7,1000,real_flamingo,1,0.001000,N/A,sabre,N/A,0,0,2036
real_nighthawk_1_qpu,,color,bposd,7,7,1000,real_flamingo,10,0.006000,N/A,sabre,N/A,0,0,2443
