backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method,time_decode,mem_decode_MB,mem_decode_full_MB
custom_full,400,steane,mwpm,9,9,1000,modsi1000,0.004,0.133000,N/A,N/A,N/A,0.10050738207064569,143.656189,774.41024
custom_full,400,hh,mwpm,11,11,1000,modsi1000,0.004,0.449000,N/A,N/A,N/A,0.29878089390695095,149.542294,788.905984
custom_full,400,color,mwpm,13,13,1000,modsi1000,0.004,0.467000,N/A,N/A,N/A,0.4043369370047003,147.477523,783.982592
custom_full,400,surface,mwpm,13,13,1000,modsi1000,0.004,0.003000,N/A,N/A,N/A,0.2854644770268351,148.692044,786.112512
custom_full,400,bacon,mwpm,19,19,1000,modsi1000,0.004,0.519000,N/A,N/A,N/A,0.6244971330743283,176.495544,857.808896
custom_full,400,gross,bposd_batch,12,12,1000,modsi1000,0.004,0.028000,N/A,N/A,N/A,1496.1933052220847,147.937317,844.5952
custom_full,400,gross,bposd_chk,12,12,1000,modsi1000,0.004,0.018000,N/A,N/A,N/A,1507.504961175844,147.937999,846.27456
custom_full,400,steane,bposd_chk,9,9,1000,modsi1000,0.004,0.140000,N/A,N/A,N/A,4140.748041617917,143.647481,831.844352
custom_full,400,steane,bposd_batch,9,9,1000,modsi1000,0.004,0.147000,N/A,N/A,N/A,4262.316642688122,143.626618,761.511936
custom_full,400,hh,bposd_batch,11,11,1000,modsi1000,0.004,0.132000,N/A,N/A,N/A,17406.028964000056,154.945103,791.044096
custom_full,400,hh,bposd_chk,11,11,1000,modsi1000,0.004,0.116000,N/A,N/A,N/A,17617.887510712026,149.541814,785.698816
custom_full,400,surface,bposd_batch,13,13,1000,modsi1000,0.004,0.002000,N/A,N/A,N/A,28778.442742655985,171.679305,804.368384
custom_full,400,surface,bposd_chk,13,13,1000,modsi1000,0.004,0.001000,N/A,N/A,N/A,31934.67037830106,149.322463,799.326208
custom_full,400,bacon,bposd_batch,19,19,1000,modsi1000,0.004,0.512000,N/A,N/A,N/A,39835.103580062976,177.317957,2221.256704
custom_full,400,bacon,bposd_chk,19,19,1000,modsi1000,0.004,0.504000,N/A,N/A,N/A,40419.831660233904,176.489713,2224.693248
custom_full,400,color,bposd_batch,13,13,1000,modsi1000,0.004,0.093000,N/A,N/A,N/A,57488.95175100793,194.352009,821.547008
custom_full,400,color,bposd_chk,13,13,1000,modsi1000,0.004,0.077000,N/A,N/A,N/A,59418.64943473996,164.914555,817.872896
