backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method
custom_full,400,steane,mwpm,9,9,1000,constant,0.004,0.150,N/A,N/A,N/A
custom_full,400,bacon,mwpm,19,19,1000,constant,0.004,0.039,N/A,N/A,N/A
custom_full,400,surface,mwpm,13,13,1000,constant,0.004,0.039,N/A,N/A,N/A
custom_full,400,hh,mwpm,11,11,1000,constant,0.004,0.512,N/A,N/A,N/A
custom_full,400,color,mwpm,13,13,1000,constant,0.004,0.504,N/A,N/A,N/A
custom_full,400,bacon,bposd_faster,19,19,1000,constant,0.004,0.040,N/A,N/A,N/A
custom_full,400,steane,bposd_faster,9,9,1000,constant,0.004,0.129,N/A,N/A,N/A
custom_full,400,gross,bposd_faster,200,200,1000,constant,0.004,0.304,N/A,N/A,N/A
custom_full,400,hh,bposd_faster,11,11,1000,constant,0.004,0.462,N/A,N/A,N/A
custom_full,400,surface,bposd_faster,13,13,1000,constant,0.004,0.034,N/A,N/A,N/A
custom_full,400,color,bposd_faster,13,13,1000,constant,0.004,0.296,N/A,N/A,N/A
custom_full,400,bacon,bposd_gross,19,19,1000,constant,0.004,0.043,N/A,N/A,N/A
custom_full,400,steane,bposd_gross,9,9,1000,constant,0.004,0.124,N/A,N/A,N/A
custom_full,400,gross,bposd_gross,200,200,1000,constant,0.004,0.269,N/A,N/A,N/A
custom_full,400,hh,bposd_gross,11,11,1000,constant,0.004,0.447,N/A,N/A,N/A
custom_full,400,surface,bposd_gross,13,13,1000,constant,0.004,0.021,N/A,N/A,N/A
custom_full,400,color,bposd_gross,13,13,1000,constant,0.004,0.249,N/A,N/A,N/A
