backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method,exec_time
custom_full,400,steane,mwpm,9,9,1000,modsi1000,0.004,0.133000,N/A,N/A,N/A,0.12569458107464015
custom_full,400,steane,mwpm,9,9,1000,constant,0.004,0.286000,N/A,N/A,N/A,0.17525034409482032
custom_full,400,surface,mwpm,13,13,1000,constant,0.004,0.029000,N/A,N/A,N/A,0.3101975410245359
custom_full,400,hh,mwpm,11,11,1000,constant,0.004,0.482000,N/A,N/A,N/A,0.3302400721004233
custom_full,400,color,mwpm,13,13,1000,constant,0.004,0.487000,N/A,N/A,N/A,0.4874553179834038
custom_full,400,surface,mwpm,13,13,1000,modsi1000,0.004,0.037000,N/A,N/A,N/A,0.36238509591203183
custom_full,400,hh,mwpm,11,11,1000,modsi1000,0.004,0.488000,N/A,N/A,N/A,0.3638855030294508
custom_full,400,color,mwpm,13,13,1000,modsi1000,0.004,0.495000,N/A,N/A,N/A,0.521207230980508
custom_full,400,bacon,mwpm,19,19,1000,modsi1000,0.004,0.496000,N/A,N/A,N/A,0.651735105086118
custom_full,400,bacon,mwpm,19,19,1000,constant,0.004,0.515000,N/A,N/A,N/A,0.6118590920232236
custom_full,400,gross,bposd_chk,12,12,1000,constant,0.004,0.283000,N/A,N/A,N/A,4592.632116305991
custom_full,400,gross,bposd_batch,12,12,1000,constant,0.004,0.302000,N/A,N/A,N/A,4627.1807824930875
custom_full,400,steane,bposd_batch,9,9,1000,modsi1000,0.004,0.138000,N/A,N/A,N/A,6279.525516321068
custom_full,400,steane,bposd_chk,9,9,1000,modsi1000,0.004,0.150000,N/A,N/A,N/A,6369.969390906044
custom_full,400,steane,bposd_chk,9,9,1000,constant,0.004,0.326000,N/A,N/A,N/A,7209.122726216097
custom_full,400,steane,bposd_batch,9,9,1000,constant,0.004,0.309000,N/A,N/A,N/A,7217.867864130996
custom_full,400,gross,bposd_chk,12,12,1000,modsi1000,0.004,0.837000,N/A,N/A,N/A,8281.564799785963
custom_full,400,gross,bposd_batch,12,12,1000,modsi1000,0.004,0.828000,N/A,N/A,N/A,8283.27603778604
custom_full,400,hh,bposd_chk,11,11,1000,modsi1000,0.004,0.471000,N/A,N/A,N/A,20362.56670016807
custom_full,400,hh,bposd_batch,11,11,1000,modsi1000,0.004,0.442000,N/A,N/A,N/A,20395.174158587004
custom_full,400,hh,bposd_chk,11,11,1000,constant,0.004,0.477000,N/A,N/A,N/A,20436.631933796103
custom_full,400,hh,bposd_batch,11,11,1000,constant,0.004,0.485000,N/A,N/A,N/A,20506.134269125992
custom_full,400,surface,bposd_chk,13,13,1000,constant,0.004,0.022000,N/A,N/A,N/A,34813.058622437995
custom_full,400,surface,bposd_batch,13,13,1000,modsi1000,0.004,0.044000,N/A,N/A,N/A,35066.450647384045
custom_full,400,surface,bposd_batch,13,13,1000,constant,0.004,0.033000,N/A,N/A,N/A,35090.129062769
custom_full,400,surface,bposd_chk,13,13,1000,modsi1000,0.004,0.033000,N/A,N/A,N/A,35625.240725838
custom_full,400,bacon,bposd_batch,19,19,1000,constant,0.004,0.502000,N/A,N/A,N/A,39125.38803500694
custom_full,400,bacon,bposd_chk,19,19,1000,constant,0.004,0.494000,N/A,N/A,N/A,39613.95983182697
custom_full,400,bacon,bposd_chk,19,19,1000,modsi1000,0.004,0.473000,N/A,N/A,N/A,40703.631725254934
custom_full,400,bacon,bposd_batch,19,19,1000,modsi1000,0.004,0.501000,N/A,N/A,N/A,41284.58907429001
custom_full,400,color,bposd_batch,13,13,1000,constant,0.004,0.243000,N/A,N/A,N/A,59967.09338822297
custom_full,400,color,bposd_chk,13,13,1000,constant,0.004,0.249000,N/A,N/A,N/A,61220.14310812205
custom_full,400,color,bposd_batch,13,13,1000,modsi1000,0.004,0.246000,N/A,N/A,N/A,62374.436472474015
custom_full,400,color,bposd_chk,13,13,1000,modsi1000,0.004,0.262000,N/A,N/A,N/A,63666.917620804044
