code,distance,cycles,decoder,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method
color,3,3,chromobius,1000,phenomenological,0.002,0.000000,N/A,N/A,N/A
color,3,3,chromobius,1000,phenomenological,0.003,0.001000,N/A,N/A,N/A
color,5,5,chromobius,1000,phenomenological,0.001,0.000000,N/A,N/A,N/A
color,3,3,chromobius,1000,phenomenological,0.004,0.002000,N/A,N/A,N/A
color,3,3,chromobius,1000,phenomenological,0.001,0.000000,N/A,N/A,N/A
color,5,5,chromobius,1000,phenomenological,0.002,0.000000,N/A,N/A,N/A
color,5,5,chromobius,1000,phenomenological,0.004,0.000000,N/A,N/A,N/A
color,3,3,chromobius,1000,phenomenological,0.005,0.000000,N/A,N/A,N/A
color,7,7,chromobius,1000,phenomenological,0.001,0.000000,N/A,N/A,N/A
color,3,3,chromobius,1000,phenomenological,0.006,0.002000,N/A,N/A,N/A
color,7,7,chromobius,1000,phenomenological,0.002,0.000000,N/A,N/A,N/A
color,5,5,chromobius,1000,phenomenological,0.005,0.000000,N/A,N/A,N/A
color,5,5,chromobius,1000,phenomenological,0.003,0.000000,N/A,N/A,N/A
color,3,3,chromobius,1000,phenomenological,0.007,0.009000,N/A,N/A,N/A
color,7,7,chromobius,1000,phenomenological,0.003,0.000000,N/A,N/A,N/A
color,3,3,chromobius,1000,phenomenological,0.008,0.005000,N/A,N/A,N/A
color,5,5,chromobius,1000,phenomenological,0.006,0.000000,N/A,N/A,N/A
color,7,7,chromobius,1000,phenomenological,0.004,0.000000,N/A,N/A,N/A
color,5,5,chromobius,1000,phenomenological,0.007,0.000000,N/A,N/A,N/A
color,3,3,chromobius,1000,phenomenological,0.009,0.005000,N/A,N/A,N/A
color,7,7,chromobius,1000,phenomenological,0.005,0.000000,N/A,N/A,N/A
color,5,5,chromobius,1000,phenomenological,0.008,0.000000,N/A,N/A,N/A
color,3,3,chromobius,1000,phenomenological,0.01,0.006000,N/A,N/A,N/A
color,5,5,chromobius,1000,phenomenological,0.009,0.001000,N/A,N/A,N/A
color,5,5,chromobius,1000,phenomenological,0.01,0.002000,N/A,N/A,N/A
color,7,7,chromobius,1000,phenomenological,0.006,0.000000,N/A,N/A,N/A
color,7,7,chromobius,1000,phenomenological,0.007,0.000000,N/A,N/A,N/A
color,7,7,chromobius,1000,phenomenological,0.008,0.000000,N/A,N/A,N/A
color,7,7,chromobius,1000,phenomenological,0.009,0.000000,N/A,N/A,N/A
color,7,7,chromobius,1000,phenomenological,0.01,0.000000,N/A,N/A,N/A
color,3,3,bposd,1000,phenomenological,0.001,0.004000,N/A,N/A,N/A
color,3,3,bposd,1000,phenomenological,0.002,0.012000,N/A,N/A,N/A
color,5,5,bposd,1000,phenomenological,0.001,0.000000,N/A,N/A,N/A
color,3,3,bposd,1000,phenomenological,0.003,0.011000,N/A,N/A,N/A
color,3,3,bposd,1000,phenomenological,0.004,0.011000,N/A,N/A,N/A
color,3,3,bposd,1000,phenomenological,0.005,0.008000,N/A,N/A,N/A
color,5,5,bposd,1000,phenomenological,0.002,0.000000,N/A,N/A,N/A
color,7,7,bposd,1000,phenomenological,0.001,0.000000,N/A,N/A,N/A
color,5,5,bposd,1000,phenomenological,0.003,0.000000,N/A,N/A,N/A
color,3,3,bposd,1000,phenomenological,0.006,0.006000,N/A,N/A,N/A
