backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method
real_infleqtion,,steane,bposd,9,9,1000,real_infleqtion,,0.002,N/A,N/A,N/A
real_nsinfleqtion,,steane,bposd,9,9,1000,real_infleqtion,,0.003,N/A,N/A,N/A
real_infleqtion,,hh,bposd,11,11,1000,real_infleqtion,,0.079,N/A,N/A,N/A
real_infleqtion,,color,bposd,13,13,1000,real_infleqtion,,0.026,N/A,N/A,N/A
real_infleqtion,,surface,bposd,13,13,1000,real_infleqtion,,0.001,N/A,N/A,N/A
real_infleqtion,,gross,bposd,12,12,1000,real_infleqtion,,0.888,N/A,N/A,N/A
real_nsinfleqtion,,hh,bposd,11,11,1000,real_infleqtion,,0.488,N/A,N/A,N/A
real_nsinfleqtion,,gross,bposd,12,12,1000,real_infleqtion,,1.000,N/A,N/A,N/A
real_infleqtion,,bacon,bposd,19,19,1000,real_infleqtion,,0.472,N/A,N/A,N/A
real_nsinfleqtion,,bacon,bposd,19,19,1000,real_infleqtion,,0.504,N/A,N/A,N/A
real_nsinfleqtion,,surface,bposd,13,13,1000,real_infleqtion,,0.513,N/A,N/A,N/A
real_nsinfleqtion,,color,bposd,13,13,1000,real_infleqtion,,0.472,N/A,N/A,N/A
