backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method
real_loon,26,surface,mwpm,3,7,100000,real_flamingo_0.25_1,,0.007870,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,7,100000,real_flamingo_0.25_1,,0.001300,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,7,100000,real_flamingo_0.5_1,,0.008930,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,35,100000,real_flamingo_0.25_1,,0.035040,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,50,100000,real_flamingo_0.25_1,,0.037550,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,7,100000,real_flamingo_1.0_1,,0.011410,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,7,100000,real_flamingo_0.5_1,,0.001750,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,7,100000,real_flamingo_0.25_1,,0.001400,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,7,100000,real_flamingo_2.0_1,,0.018830,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,35,100000,real_flamingo_0.5_1,,0.036400,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,7,100000,real_flamingo_1.0_1,,0.002680,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,7,100000,real_flamingo_4.0_1,,0.040110,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,50,100000,real_flamingo_0.5_1,,0.038620,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,7,100000,real_flamingo_1_0.25,,0.011350,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,35,100000,real_flamingo_1.0_1,,0.040910,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,35,100000,real_flamingo_0.25_1,,0.010830,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,7,100000,real_flamingo_2.0_1,,0.006500,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,7,100000,real_flamingo_1_0.5,,0.011270,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,7,100000,real_flamingo_0.5_1,,0.001930,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,7,100000,real_flamingo_1_0.75,,0.010740,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,50,100000,real_flamingo_1.0_1,,0.043380,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,7,100000,real_flamingo_1_1.0,,0.011410,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,35,100000,real_flamingo_2.0_1,,0.052030,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,7,100000,real_flamingo_4.0_1,,0.024560,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,50,100000,real_flamingo_0.25_1,,0.018440,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,7,100000,real_flamingo_1_1.5,,0.011260,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,7,100000,real_flamingo_1_2.0,,0.011250,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,7,100000,real_flamingo_1_0.25,,0.002690,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,7,100000,real_flamingo_1.0_1,,0.002600,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,50,100000,real_flamingo_2.0_1,,0.054810,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,7,100000,real_flamingo_1_0.5,,0.002490,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,35,100000,real_flamingo_4.0_1,,0.077000,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,35,100000,real_flamingo_0.5_1,,0.012100,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,7,100000,real_flamingo_1_0.75,,0.002600,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,35,100000,real_flamingo_1_0.25,,0.041160,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,35,100000,real_flamingo_0.25_1,,0.005860,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,7,100000,real_flamingo_2.0_1,,0.006090,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,7,100000,real_flamingo_1_1.0,,0.002780,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,50,100000,real_flamingo_4.0_1,,0.082330,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,35,100000,real_flamingo_1_0.5,,0.041040,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,7,100000,real_flamingo_1_1.5,,0.002670,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,50,100000,real_flamingo_0.5_1,,0.020470,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,50,100000,real_flamingo_1_0.25,,0.043700,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,7,100000,real_flamingo_1_2.0,,0.002710,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,35,100000,real_flamingo_1_0.75,,0.040490,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,35,100000,real_flamingo_1.0_1,,0.014850,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,35,100000,real_flamingo_1_1.0,,0.041330,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,50,100000,real_flamingo_1_0.5,,0.043240,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,50,100000,real_flamingo_0.25_1,,0.006380,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,7,100000,real_flamingo_4.0_1,,0.023530,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,35,100000,real_flamingo_1_1.5,,0.041070,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,50,100000,real_flamingo_1_0.75,,0.043820,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,7,100000,real_flamingo_1_0.25,,0.002420,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,35,100000,real_flamingo_1_2.0,,0.040790,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,50,100000,real_flamingo_1_1.0,,0.043430,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,35,100000,real_flamingo_2.0_1,,0.021590,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,50,100000,real_flamingo_1.0_1,,0.024510,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,7,100000,real_flamingo_1_0.5,,0.002530,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,50,100000,real_flamingo_1_1.5,,0.044400,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,35,100000,real_flamingo_0.5_1,,0.006910,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,50,100000,real_flamingo_1_2.0,,0.043780,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,7,100000,real_flamingo_1_0.75,,0.002730,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,7,100000,real_flamingo_1_1.0,,0.002450,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,35,100000,real_flamingo_4.0_1,,0.046670,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,50,100000,real_flamingo_2.0_1,,0.033700,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,7,100000,real_flamingo_1_1.5,,0.003170,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,50,100000,real_flamingo_0.5_1,,0.007270,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,7,100000,real_flamingo_1_2.0,,0.002620,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,35,100000,real_flamingo_1.0_1,,0.008330,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,35,100000,real_flamingo_1_0.25,,0.014390,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,35,100000,real_flamingo_1_0.5,,0.014290,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,50,100000,real_flamingo_4.0_1,,0.063770,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,35,100000,real_flamingo_1_0.75,,0.015190,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,50,100000,real_flamingo_1.0_1,,0.009160,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,35,100000,real_flamingo_2.0_1,,0.014520,N/A,N/A,N/A
