backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method
real_loon,26,surface,mwpm,3,7,100000,real_flamingo_0.25_1,,0.007510,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,7,100000,real_flamingo_0.25_1,,0.001390,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,7,100000,real_flamingo_0.5_1,,0.008210,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,35,100000,real_flamingo_0.25_1,,0.034140,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,7,100000,real_flamingo_1.0_1,,0.010570,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,7,100000,real_flamingo_0.5_1,,0.001660,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,50,100000,real_flamingo_0.25_1,,0.050210,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,7,100000,real_flamingo_0.25_1,,0.001330,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,7,100000,real_flamingo_2.0_1,,0.017860,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,35,100000,real_flamingo_0.5_1,,0.036510,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,7,100000,real_flamingo_1.0_1,,0.002720,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,7,100000,real_flamingo_4.0_1,,0.038810,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,7,100000,real_flamingo_0.25_1,,0.007280,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,7,100000,real_flamingo_0.25_1,,0.001270,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,7,100000,real_flamingo_0.5_1,,0.007980,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,35,100000,real_flamingo_0.25_1,,0.032200,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,7,100000,real_flamingo_1.0_1,,0.010830,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,7,100000,real_flamingo_0.5_1,,0.001610,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,7,100000,real_flamingo_0.25_1,,0.001640,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,7,100000,real_flamingo_2.0_1,,0.017560,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,35,100000,real_flamingo_0.5_1,,0.034870,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,7,100000,real_flamingo_1.0_1,,0.002450,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,7,100000,real_flamingo_4.0_1,,0.038700,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,7,100000,real_flamingo_1_0.25,,0.010560,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,35,100000,real_flamingo_1.0_1,,0.038480,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,7,100000,real_flamingo_1_0.5,,0.010420,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,7,100000,real_flamingo_2.0_1,,0.006650,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,35,100000,real_flamingo_0.25_1,,0.011780,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,7,100000,real_flamingo_0.5_1,,0.002010,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,7,100000,real_flamingo_1_0.75,,0.010700,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,7,100000,real_flamingo_1_1.0,,0.010420,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,35,100000,real_flamingo_2.0_1,,0.048050,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,7,100000,real_flamingo_4.0_1,,0.025270,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,7,100000,real_flamingo_1_1.5,,0.010710,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,7,100000,real_flamingo_1_2.0,,0.010880,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,7,100000,real_flamingo_1_0.25,,0.002490,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,7,100000,real_flamingo_1.0_1,,0.002770,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,35,100000,real_flamingo_4.0_1,,0.074610,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,7,100000,real_flamingo_1_0.5,,0.002710,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,35,100000,real_flamingo_0.5_1,,0.013130,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,7,100000,real_flamingo_1_0.75,,0.002560,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,35,100000,real_flamingo_1_0.25,,0.036740,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,7,100000,real_flamingo_2.0_1,,0.006220,N/A,N/A,N/A
