backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method
real_heron,118,surface,mwpm,7,7,1000,real_heron_8_1,,0.172,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,7,1000,real_heron_2_1,,0.027,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,7,1000,real_heron_4_1,,0.043,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,7,1000,real_heron_1_1,,0.022,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,7,1000,real_heron_6_1,,0.117,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,9,1000,real_heron_8_1,,0.178,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,9,1000,real_heron_1_1,,0.017,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,9,1000,real_heron_2_1,,0.029,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,9,1000,real_heron_4_1,,0.067,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,9,1000,real_heron_6_1,,0.120,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,11,1000,real_heron_2_1,,0.018,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,11,1000,real_heron_1_1,,0.022,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,11,1000,real_heron_8_1,,0.166,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,11,1000,real_heron_6_1,,0.091,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,11,1000,real_heron_4_1,,0.067,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,13,1000,real_heron_6_1,,0.105,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,13,1000,real_heron_1_1,,0.021,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,13,1000,real_heron_8_1,,0.181,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,13,1000,real_heron_4_1,,0.074,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,13,1000,real_heron_2_1,,0.032,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,15,1000,real_heron_8_1,,0.200,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,15,1000,real_heron_1_1,,0.030,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,15,1000,real_heron_6_1,,0.144,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,15,1000,real_heron_4_1,,0.084,N/A,N/A,N/A
real_mcm_ideal,118,surface,mwpm,7,7,1000,real_heron_6_1,,0.373,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,15,1000,real_heron_2_1,,0.040,N/A,N/A,N/A
real_mcm_ideal,118,surface,mwpm,7,7,1000,real_heron_1_1,,0.243,N/A,N/A,N/A
