backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method
real_loon,118,surface,mwpm,7,7,1000,real_flamingo_6_1,,0.052,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,7,1000,real_flamingo_1_1,,0.003,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,7,1000,real_flamingo_2_1,,0.004,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,7,1000,real_flamingo_4_1,,0.021,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,7,1000,real_flamingo_8_1,,0.112,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,9,1000,real_flamingo_6_1,,0.045,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,9,1000,real_flamingo_2_1,,0.008,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,9,1000,real_flamingo_8_1,,0.115,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,9,1000,real_flamingo_1_1,,0.006,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,9,1000,real_flamingo_4_1,,0.026,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,11,1000,real_flamingo_6_1,,0.057,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,11,1000,real_flamingo_1_1,,0.008,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,11,1000,real_flamingo_8_1,,0.118,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,11,1000,real_flamingo_2_1,,0.007,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,11,1000,real_flamingo_4_1,,0.036,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,13,1000,real_flamingo_1_1,,0.003,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,13,1000,real_flamingo_2_1,,0.008,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,13,1000,real_flamingo_4_1,,0.026,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,13,1000,real_flamingo_6_1,,0.066,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,13,1000,real_flamingo_8_1,,0.114,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,15,1000,real_flamingo_4_1,,0.021,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,15,1000,real_flamingo_1_1,,0.008,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,15,1000,real_flamingo_2_1,,0.015,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,15,1000,real_flamingo_8_1,,0.119,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,15,1000,real_flamingo_6_1,,0.061,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,17,1000,real_flamingo_4_1,,0.026,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,17,1000,real_flamingo_2_1,,0.010,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,17,1000,real_flamingo_6_1,,0.060,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,17,1000,real_flamingo_8_1,,0.116,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,17,1000,real_flamingo_1_1,,0.001,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,19,1000,real_flamingo_1_1,,0.009,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,19,1000,real_flamingo_4_1,,0.027,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,19,1000,real_flamingo_2_1,,0.013,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,19,1000,real_flamingo_8_1,,0.106,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,19,1000,real_flamingo_6_1,,0.070,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,21,1000,real_flamingo_6_1,,0.078,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,21,1000,real_flamingo_4_1,,0.037,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,21,1000,real_flamingo_1_1,,0.006,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,21,1000,real_flamingo_2_1,,0.009,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,21,1000,real_flamingo_8_1,,0.155,N/A,N/A,N/A
