backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method
real_heron,118,surface,mwpm,7,7,1000,real_heron_1_1,,0.014,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,7,1000,real_heron_1_10,,0.014,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,7,1000,real_heron_1_40,,0.020,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,7,1000,real_heron_1_20,,0.013,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,7,1000,real_heron_1_5,,0.011,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,9,1000,real_heron_1_1,,0.009,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,9,1000,real_heron_1_10,,0.017,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,9,1000,real_heron_1_40,,0.014,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,9,1000,real_heron_1_20,,0.014,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,9,1000,real_heron_1_5,,0.025,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,11,1000,real_heron_1_10,,0.013,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,11,1000,real_heron_1_5,,0.014,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,11,1000,real_heron_1_40,,0.022,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,11,1000,real_heron_1_20,,0.023,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,11,1000,real_heron_1_1,,0.017,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,13,1000,real_heron_1_5,,0.027,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,13,1000,real_heron_1_1,,0.018,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,15,1000,real_heron_1_10,,0.020,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,13,1000,real_heron_1_20,,0.029,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,13,1000,real_heron_1_10,,0.028,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,13,1000,real_heron_1_40,,0.013,N/A,N/A,N/A
real_mcm_ideal,118,surface,mwpm,7,7,1000,real_heron_1_1,,0.250,N/A,N/A,N/A
real_mcm_ideal,118,surface,mwpm,7,7,1000,real_heron_1_10,,0.260,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,15,1000,real_heron_1_20,,0.017,N/A,N/A,N/A
real_mcm_ideal,118,surface,mwpm,7,7,1000,real_heron_1_5,,0.251,N/A,N/A,N/A
real_mcm_ideal,118,surface,mwpm,7,7,1000,real_heron_1_20,,0.255,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,15,1000,real_heron_1_40,,0.025,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,15,1000,real_heron_1_1,,0.027,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,17,1000,real_heron_1_40,,0.022,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,17,1000,real_heron_1_10,,0.031,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,19,1000,real_heron_1_5,,0.019,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,17,1000,real_heron_1_20,,0.025,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,17,1000,real_heron_1_5,,0.027,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,17,1000,real_heron_1_1,,0.018,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,15,1000,real_heron_1_5,,0.028,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,19,1000,real_heron_1_10,,0.029,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,19,1000,real_heron_1_1,,0.025,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,19,1000,real_heron_1_20,,0.044,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,19,1000,real_heron_1_40,,0.027,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,21,1000,real_heron_1_5,,0.042,N/A,N/A,N/A
real_mcm_ideal,118,surface,mwpm,7,9,1000,real_heron_1_5,,0.327,N/A,N/A,N/A
real_mcm_ideal,118,surface,mwpm,7,9,1000,real_heron_1_40,,0.323,N/A,N/A,N/A
real_mcm_ideal,118,surface,mwpm,7,9,1000,real_heron_1_20,,0.335,N/A,N/A,N/A
real_mcm_ideal,118,surface,mwpm,7,9,1000,real_heron_1_10,,0.326,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,21,1000,real_heron_1_40,,0.027,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,21,1000,real_heron_1_1,,0.026,N/A,N/A,N/A
real_mcm_ideal,118,surface,mwpm,7,9,1000,real_heron_1_1,,0.328,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,21,1000,real_heron_1_20,,0.029,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,21,1000,real_heron_1_10,,0.043,N/A,N/A,N/A
real_mcm_ideal,118,surface,mwpm,7,11,1000,real_heron_1_20,,0.356,N/A,N/A,N/A
real_mcm_ideal,118,surface,mwpm,7,11,1000,real_heron_1_40,,0.366,N/A,N/A,N/A
real_mcm_ideal,118,surface,mwpm,7,11,1000,real_heron_1_1,,0.371,N/A,N/A,N/A
real_mcm_ideal,118,surface,mwpm,7,11,1000,real_heron_1_10,,0.358,N/A,N/A,N/A
real_mcm_ideal,118,surface,mwpm,7,7,1000,real_heron_1_40,,0.261,N/A,N/A,N/A
real_mcm_ideal,118,surface,mwpm,7,13,1000,real_heron_1_40,,0.390,N/A,N/A,N/A
real_mcm_ideal,118,surface,mwpm,7,13,1000,real_heron_1_1,,0.413,N/A,N/A,N/A
real_mcm_ideal,118,surface,mwpm,7,13,1000,real_heron_1_5,,0.412,N/A,N/A,N/A
real_mcm_ideal,118,surface,mwpm,7,13,1000,real_heron_1_20,,0.398,N/A,N/A,N/A
real_mcm_ideal,118,surface,mwpm,7,13,1000,real_heron_1_10,,0.393,N/A,N/A,N/A
real_mcm_ideal,118,surface,mwpm,7,15,1000,real_heron_1_5,,0.439,N/A,N/A,N/A
real_mcm_ideal,118,surface,mwpm,7,15,1000,real_heron_1_10,,0.418,N/A,N/A,N/A
real_mcm_ideal,118,surface,mwpm,7,15,1000,real_heron_1_20,,0.426,N/A,N/A,N/A
real_mcm_ideal,118,surface,mwpm,7,15,1000,real_heron_1_1,,0.418,N/A,N/A,N/A
real_mcm_ideal,118,surface,mwpm,7,11,1000,real_heron_1_5,,0.361,N/A,N/A,N/A
real_mcm_ideal,118,surface,mwpm,7,15,1000,real_heron_1_40,,0.402,N/A,N/A,N/A
real_mcm_ideal,118,surface,mwpm,7,17,1000,real_heron_1_10,,0.460,N/A,N/A,N/A
real_mcm_ideal,118,surface,mwpm,7,17,1000,real_heron_1_1,,0.433,N/A,N/A,N/A
real_mcm_ideal,118,surface,mwpm,7,17,1000,real_heron_1_5,,0.456,N/A,N/A,N/A
real_mcm_ideal,118,surface,mwpm,7,17,1000,real_heron_1_40,,0.445,N/A,N/A,N/A
real_mcm_ideal,118,surface,mwpm,7,17,1000,real_heron_1_20,,0.438,N/A,N/A,N/A
real_mcm_ideal,118,surface,mwpm,7,19,1000,real_heron_1_5,,0.442,N/A,N/A,N/A
real_mcm_ideal,118,surface,mwpm,7,19,1000,real_heron_1_1,,0.460,N/A,N/A,N/A
real_mcm_ideal,118,surface,mwpm,7,19,1000,real_heron_1_20,,0.475,N/A,N/A,N/A
real_mcm_ideal,118,surface,mwpm,7,19,1000,real_heron_1_10,,0.487,N/A,N/A,N/A
