backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method
real_apollo,,gross,bposd,12,12,1000,modsi1000,0.002,0.000,N/A,N/A,N/A
real_apollo,,gross,bposd,12,12,1000,modsi1000,0.004,0.021,N/A,N/A,N/A
real_nsinfleqtion,,steane,bposd,9,9,1000,modsi1000,0.002,0.026,N/A,N/A,N/A
real_willow,,steane,bposd,9,9,1000,modsi1000,0.002,0.053,N/A,N/A,N/A
real_nsinfleqtion,,steane,bposd,9,9,1000,modsi1000,0.004,0.073,N/A,N/A,N/A
real_willow,,steane,bposd,9,9,1000,modsi1000,0.004,0.077,N/A,N/A,N/A
real_nsinfleqtion,,gross,bposd,12,12,1000,modsi1000,0.002,0.999,N/A,N/A,N/A
real_nsinfleqtion,,gross,bposd,12,12,1000,modsi1000,0.004,1.000,N/A,N/A,N/A
real_willow,,gross,bposd,12,12,1000,modsi1000,0.004,1.000,N/A,N/A,N/A
real_nsinfleqtion,,steane,bposd,9,9,1000,modsi1000,0.004,0.058,N/A,N/A,N/A
real_willow,,steane,bposd,9,9,1000,modsi1000,0.004,0.124,N/A,N/A,N/A
real_nsinfleqtion,,steane,bposd,9,9,1000,modsi1000,0.004,0.038,N/A,N/A,N/A
real_willow,,steane,bposd,9,9,1000,modsi1000,0.004,0.129,N/A,N/A,N/A
real_apollo,,surface,bposd,17,17,1000,modsi1000,0.004,0.001,N/A,N/A,N/A
real_willow,,surface,bposd,11,11,1000,modsi1000,0.004,0.469,N/A,N/A,N/A
real_nsinfleqtion,,hh,bposd,11,11,1000,modsi1000,0.004,0.487,N/A,N/A,N/A
real_apollo,,hh,bposd,17,17,1000,modsi1000,0.004,0.196,N/A,N/A,N/A
real_willow,,bacon,bposd,17,17,1000,modsi1000,0.004,0.493,N/A,N/A,N/A
real_willow,,hh,bposd,11,11,1000,modsi1000,0.004,0.495,N/A,N/A,N/A
real_apollo,,bacon,bposd,27,27,1000,modsi1000,0.004,0.471,N/A,N/A,N/A
real_nsinfleqtion,,bacon,bposd,19,19,1000,modsi1000,0.004,0.462,N/A,N/A,N/A
real_willow,,color,bposd,11,11,1000,modsi1000,0.004,0.506,N/A,N/A,N/A
real_apollo,,color,bposd,17,17,1000,modsi1000,0.004,0.182,N/A,N/A,N/A
real_nsinfleqtion,,surface,bposd,13,13,1000,modsi1000,0.004,0.513,N/A,N/A,N/A
real_nsinfleqtion,,color,bposd,13,13,1000,modsi1000,0.004,0.480,N/A,N/A,N/A
