backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method
real_apollo,,gross,bposd,12,12,1000,modsi1000,0.002,0.000,N/A,N/A,N/A
real_apollo,,gross,bposd,12,12,1000,modsi1000,0.004,0.029,N/A,N/A,N/A
real_nsinfleqtion,,steane,bposd,9,9,1000,modsi1000,0.002,0.035,N/A,N/A,N/A
real_willow,,steane,bposd,9,9,1000,modsi1000,0.002,0.069,N/A,N/A,N/A
real_nsinfleqtion,,steane,bposd,9,9,1000,modsi1000,0.004,0.069,N/A,N/A,N/A
real_willow,,steane,bposd,9,9,1000,modsi1000,0.004,0.154,N/A,N/A,N/A
real_nsinfleqtion,,gross,bposd,12,12,1000,modsi1000,0.002,1.000,N/A,N/A,N/A
real_nsinfleqtion,,gross,bposd,12,12,1000,modsi1000,0.004,1.000,N/A,N/A,N/A
real_willow,,gross,bposd,12,12,1000,modsi1000,0.002,1.000,N/A,N/A,N/A
real_willow,,gross,bposd,12,12,1000,modsi1000,0.004,1.000,N/A,N/A,N/A
real_apollo,,surface,bposd,17,17,1000,modsi1000,0.002,0.000,N/A,N/A,N/A
real_apollo,,surface,bposd,17,17,1000,modsi1000,0.004,0.002,N/A,N/A,N/A
