backend,backend_size,code,distance,cycles,state,routing_method,layout_method,gate_overhead_mean,gate_overhead_var,tq_gate_overhead_mean,tq_gate_overhead_var,swap_overhead_mean,swap_overhead_var
custom_heavyhex,291,gross,145,145,,sabre,dense,90271.74,312405.35839999997,90271.74,312405.35839999997,90271.74,312405.35839999997
custom_heavyhex,291,gross,145,145,,sabre,trivial,89788.115,303572.66377499996,89788.115,303572.66377499996,89788.115,303572.66377499996
custom_heavyhex,291,gross,145,145,,sabre,sabre,74511.898,41787.145596,74511.898,41787.145596,74511.898,41787.145596
custom_heavyhex,291,gross,145,145,,basic,trivial,159871.0,0.0,159871.0,0.0,159871.0,0.0
custom_heavyhex,291,gross,145,145,,basic,dense,156571.0,0.0,156571.0,0.0,156571.0,0.0
custom_heavyhex,291,gross,145,145,,basic,sabre,147097.309,5264576.041519,147097.309,5264576.041519,147097.309,5264576.041519
custom_heavyhex,291,gross,145,145,,stochastic,trivial,133160.16,2054857.7284000001,133160.16,2054857.7284000001,133160.16,2054857.7284000001
custom_heavyhex,291,gross,145,145,,stochastic,sabre,123256.595,728868.518975,123256.595,728868.518975,123256.595,728868.518975
custom_heavyhex,291,gross,145,145,,stochastic,dense,133369.291,2726379.716319,133369.291,2726379.716319,133369.291,2726379.716319
custom_heavyhex,291,bacon,17,17,,sabre,trivial,4620.664,1858.035104,4620.664,1858.035104,4620.664,1858.035104
custom_heavyhex,291,bacon,17,17,,sabre,dense,3357.709,1463.444319,3357.709,1463.444319,3357.709,1463.444319
custom_heavyhex,291,steane,9,9,,sabre,trivial,13241.647,67481.896391,13241.647,67481.896391,13241.647,67481.896391
custom_heavyhex,291,steane,9,9,,sabre,dense,12488.504,87235.935984,12488.504,87235.935984,12488.504,87235.935984
custom_heavyhex,291,bacon,17,17,,sabre,sabre,1949.663,5911.069431,1949.663,5911.069431,1949.663,5911.069431
custom_heavyhex,291,steane,9,9,,sabre,sabre,7233.094,39026.475163999996,7233.094,39026.475163999996,7233.094,39026.475163999996
custom_heavyhex,291,color,11,11,,sabre,dense,19441.179,339884.38695899997,19441.179,339884.38695899997,19441.179,339884.38695899997
custom_heavyhex,291,color,11,11,,sabre,trivial,22231.625,341170.746375,22231.625,341170.746375,22231.625,341170.746375
custom_heavyhex,291,surface,11,11,,sabre,dense,16606.861,259538.57367900002,16606.861,259538.57367900002,16606.861,259538.57367900002
custom_heavyhex,291,surface,11,11,,sabre,trivial,24119.548,224532.23769599997,24119.548,224532.23769599997,24119.548,224532.23769599997
custom_heavyhex,291,color,11,11,,sabre,sabre,10308.765,98531.12177499999,10308.765,98531.12177499999,10308.765,98531.12177499999
custom_heavyhex,291,surface,11,11,,sabre,sabre,9337.398,322441.027596,9337.398,322441.027596,9337.398,322441.027596
custom_heavyhex,291,hh,11,11,,sabre,dense,24959.703,423720.14679100004,24959.703,423720.14679100004,24959.703,423720.14679100004
custom_heavyhex,291,hh,11,11,,sabre,trivial,32691.988,406478.775856,32691.988,406478.775856,32691.988,406478.775856
custom_heavyhex,291,hh,11,11,,sabre,sabre,11705.402,831283.0783959999,11705.402,831283.0783959999,11705.402,831283.0783959999
custom_heavyhex,291,bacon,17,17,,basic,dense,5669.0,0.0,5669.0,0.0,5669.0,0.0
custom_heavyhex,291,bacon,17,17,,basic,trivial,7274.0,0.0,7274.0,0.0,7274.0,0.0
custom_heavyhex,291,bacon,17,17,,basic,sabre,3488.117,18372.219311000004,3488.117,18372.219311000004,3488.117,18372.219311000004
custom_heavyhex,291,steane,9,9,,basic,dense,16550.0,0.0,16550.0,0.0,16550.0,0.0
custom_heavyhex,291,bacon,17,17,,stochastic,sabre,3990.098,22253.550396000002,3990.098,22253.550396000002,3990.098,22253.550396000002
custom_heavyhex,291,steane,9,9,,basic,trivial,18878.0,0.0,18878.0,0.0,18878.0,0.0
custom_heavyhex,291,steane,9,9,,basic,sabre,15120.078,1000816.625916,15120.078,1000816.625916,15120.078,1000816.625916
custom_heavyhex,291,bacon,17,17,,stochastic,dense,6613.538,25491.654556,6613.538,25491.654556,6613.538,25491.654556
custom_heavyhex,291,bacon,17,17,,stochastic,trivial,8742.708,26989.306736000002,8742.708,26989.306736000002,8742.708,26989.306736000002
custom_heavyhex,291,steane,9,9,,stochastic,dense,12394.438,183563.770156,12394.438,183563.770156,12394.438,183563.770156
custom_heavyhex,291,steane,9,9,,stochastic,sabre,9908.074,98296.048524,9908.074,98296.048524,9908.074,98296.048524
custom_heavyhex,291,steane,9,9,,stochastic,trivial,12999.961,159835.549479,12999.961,159835.549479,12999.961,159835.549479
custom_heavyhex,291,color,11,11,,basic,dense,34992.0,0.0,34992.0,0.0,34992.0,0.0
custom_heavyhex,291,color,11,11,,basic,trivial,43925.0,0.0,43925.0,0.0,43925.0,0.0
custom_heavyhex,291,color,11,11,,basic,sabre,27211.104,3263410.103184,27211.104,3263410.103184,27211.104,3263410.103184
custom_heavyhex,291,surface,11,11,,basic,trivial,63820.0,0.0,63820.0,0.0,63820.0,0.0
custom_heavyhex,291,surface,11,11,,basic,dense,50013.0,0.0,50013.0,0.0,50013.0,0.0
custom_heavyhex,291,surface,11,11,,basic,sabre,36488.663,4706706.343431,36488.663,4706706.343431,36488.663,4706706.343431
