backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method
custom_full,450,gross,bposd,12,12,1000,constant,0.002,0.000,N/A,N/A,N/A
custom_full,400,gross,bposd,12,12,1000,constant,0.002,0.000,N/A,N/A,N/A
custom_full,300,gross,bposd,12,12,1000,constant,0.002,0.000,N/A,N/A,N/A
custom_full,500,gross,bposd,12,12,1000,constant,0.002,0.000,N/A,N/A,N/A
custom_full,350,gross,bposd,12,12,1000,constant,0.002,0.000,N/A,N/A,N/A
custom_full,300,gross,bposd,12,12,1000,modsi1000,0.002,0.000,N/A,N/A,N/A
custom_full,400,gross,bposd,12,12,1000,modsi1000,0.002,0.000,N/A,N/A,N/A
custom_full,350,gross,bposd,12,12,1000,modsi1000,0.002,0.001,N/A,N/A,N/A
custom_full,450,gross,bposd,12,12,1000,modsi1000,0.002,0.001,N/A,N/A,N/A
custom_full,500,gross,bposd,12,12,1000,modsi1000,0.002,0.001,N/A,N/A,N/A
custom_full,350,gross,bposd,12,12,1000,constant,0.004,0.027,N/A,N/A,N/A
custom_full,450,gross,bposd,12,12,1000,constant,0.004,0.027,N/A,N/A,N/A
custom_full,500,gross,bposd,12,12,1000,constant,0.004,0.018,N/A,N/A,N/A
custom_full,300,gross,bposd,12,12,1000,constant,0.004,0.029,N/A,N/A,N/A
custom_full,400,gross,bposd,12,12,1000,constant,0.004,0.029,N/A,N/A,N/A
custom_full,450,gross,bposd,12,12,1000,modsi1000,0.004,0.027,N/A,N/A,N/A
custom_full,400,gross,bposd,12,12,1000,modsi1000,0.004,0.018,N/A,N/A,N/A
custom_full,500,gross,bposd,12,12,1000,modsi1000,0.004,0.024,N/A,N/A,N/A
custom_full,350,gross,bposd,12,12,1000,modsi1000,0.004,0.036,N/A,N/A,N/A
custom_full,300,gross,bposd,12,12,1000,modsi1000,0.004,0.030,N/A,N/A,N/A
custom_full,450,steane,bposd,9,9,1000,modsi1000,0.002,0.068,N/A,N/A,N/A
custom_full,500,steane,bposd,9,9,1000,modsi1000,0.002,0.090,N/A,N/A,N/A
custom_full,400,steane,bposd,9,9,1000,modsi1000,0.002,0.078,N/A,N/A,N/A
custom_full,350,steane,bposd,9,9,1000,modsi1000,0.002,0.078,N/A,N/A,N/A
custom_full,300,steane,bposd,9,9,1000,modsi1000,0.002,0.080,N/A,N/A,N/A
custom_full,450,steane,bposd,9,9,1000,modsi1000,0.004,0.136,N/A,N/A,N/A
custom_full,500,steane,bposd,9,9,1000,modsi1000,0.004,0.130,N/A,N/A,N/A
custom_full,400,steane,bposd,9,9,1000,modsi1000,0.004,0.138,N/A,N/A,N/A
custom_full,350,steane,bposd,9,9,1000,modsi1000,0.004,0.130,N/A,N/A,N/A
custom_full,400,steane,bposd,9,9,1000,constant,0.002,0.132,N/A,N/A,N/A
custom_full,300,steane,bposd,9,9,1000,modsi1000,0.004,0.140,N/A,N/A,N/A
custom_full,300,steane,bposd,9,9,1000,constant,0.002,0.141,N/A,N/A,N/A
custom_full,450,steane,bposd,9,9,1000,constant,0.002,0.144,N/A,N/A,N/A
custom_full,500,steane,bposd,9,9,1000,constant,0.002,0.156,N/A,N/A,N/A
custom_full,350,steane,bposd,9,9,1000,constant,0.002,0.147,N/A,N/A,N/A
custom_full,450,steane,bposd,9,9,1000,constant,0.004,0.238,N/A,N/A,N/A
custom_full,400,steane,bposd,9,9,1000,constant,0.004,0.255,N/A,N/A,N/A
custom_full,350,steane,bposd,9,9,1000,constant,0.004,0.251,N/A,N/A,N/A
custom_full,400,steane,bposd,9,9,1000,modsi1000,0.008,0.253,N/A,N/A,N/A
custom_full,350,steane,bposd,9,9,1000,modsi1000,0.008,0.240,N/A,N/A,N/A
custom_full,450,steane,bposd,9,9,1000,modsi1000,0.008,0.230,N/A,N/A,N/A
custom_full,300,steane,bposd,9,9,1000,modsi1000,0.008,0.259,N/A,N/A,N/A
custom_full,300,steane,bposd,9,9,1000,constant,0.004,0.252,N/A,N/A,N/A
custom_full,500,steane,bposd,9,9,1000,modsi1000,0.008,0.231,N/A,N/A,N/A
custom_full,500,steane,bposd,9,9,1000,constant,0.004,0.242,N/A,N/A,N/A
custom_full,450,steane,bposd,9,9,1000,constant,0.008,0.358,N/A,N/A,N/A
custom_full,350,steane,bposd,9,9,1000,constant,0.008,0.356,N/A,N/A,N/A
custom_full,400,steane,bposd,9,9,1000,constant,0.008,0.381,N/A,N/A,N/A
custom_full,300,steane,bposd,9,9,1000,constant,0.008,0.424,N/A,N/A,N/A
custom_full,500,steane,bposd,9,9,1000,constant,0.008,0.380,N/A,N/A,N/A
custom_full,300,surface,bposd,11,11,1000,modsi1000,0.002,0.000,N/A,N/A,N/A
custom_full,350,surface,bposd,11,11,1000,modsi1000,0.002,0.000,N/A,N/A,N/A
custom_full,300,gross,bposd,12,12,1000,modsi1000,0.008,0.951,N/A,N/A,N/A
custom_full,500,gross,bposd,12,12,1000,modsi1000,0.008,0.946,N/A,N/A,N/A
custom_full,350,gross,bposd,12,12,1000,modsi1000,0.008,0.929,N/A,N/A,N/A
custom_full,450,gross,bposd,12,12,1000,modsi1000,0.008,0.954,N/A,N/A,N/A
custom_full,400,gross,bposd,12,12,1000,modsi1000,0.008,0.946,N/A,N/A,N/A
custom_full,400,gross,bposd,12,12,1000,constant,0.008,0.929,N/A,N/A,N/A
custom_full,450,gross,bposd,12,12,1000,constant,0.008,0.927,N/A,N/A,N/A
custom_full,350,gross,bposd,12,12,1000,constant,0.008,0.927,N/A,N/A,N/A
custom_full,500,gross,bposd,12,12,1000,constant,0.008,0.913,N/A,N/A,N/A
custom_full,300,gross,bposd,12,12,1000,constant,0.008,0.917,N/A,N/A,N/A
custom_full,350,surface,bposd,11,11,1000,constant,0.002,0.000,N/A,N/A,N/A
custom_full,300,surface,bposd,11,11,1000,constant,0.002,0.000,N/A,N/A,N/A
custom_full,350,surface,bposd,11,11,1000,modsi1000,0.004,0.001,N/A,N/A,N/A
custom_full,300,surface,bposd,11,11,1000,modsi1000,0.004,0.002,N/A,N/A,N/A
custom_full,300,surface,bposd,11,11,1000,constant,0.004,0.016,N/A,N/A,N/A
custom_full,350,surface,bposd,11,11,1000,constant,0.004,0.004,N/A,N/A,N/A
custom_full,400,hh,bposd,11,11,1000,modsi1000,0.002,0.006,N/A,N/A,N/A
custom_full,300,hh,bposd,11,11,1000,modsi1000,0.002,0.007,N/A,N/A,N/A
custom_full,350,hh,bposd,11,11,1000,modsi1000,0.002,0.010,N/A,N/A,N/A
