backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method
custom_grid,361,steane,bposd,9,9,1000,modsi1000,0.002,0.039,N/A,N/A,N/A
custom_grid,361,steane,bposd,9,9,1000,constant,0.002,0.109,N/A,N/A,N/A
custom_grid,324,steane,bposd,9,9,1000,modsi1000,0.002,0.085,N/A,N/A,N/A
custom_grid,324,steane,bposd,9,9,1000,constant,0.002,0.170,N/A,N/A,N/A
custom_grid,361,steane,bposd,9,9,1000,modsi1000,0.004,0.142,N/A,N/A,N/A
custom_grid,361,steane,bposd,9,9,1000,constant,0.004,0.202,N/A,N/A,N/A
custom_grid,361,steane,bposd,9,9,1000,modsi1000,0.008,0.205,N/A,N/A,N/A
custom_grid,324,steane,bposd,9,9,1000,modsi1000,0.008,0.329,N/A,N/A,N/A
custom_grid,361,steane,bposd,9,9,1000,constant,0.008,0.344,N/A,N/A,N/A
custom_grid,324,steane,bposd,9,9,1000,constant,0.004,0.302,N/A,N/A,N/A
custom_grid,324,steane,bposd,9,9,1000,constant,0.008,0.340,N/A,N/A,N/A
custom_grid,324,steane,bposd,9,9,1000,modsi1000,0.004,0.145,N/A,N/A,N/A
custom_grid,361,bacon,bposd,19,19,1000,constant,0.004,0.501,N/A,N/A,N/A
custom_grid,361,bacon,bposd,19,19,1000,modsi1000,0.002,0.418,N/A,N/A,N/A
custom_grid,361,bacon,bposd,19,19,1000,constant,0.002,0.438,N/A,N/A,N/A
custom_grid,361,bacon,bposd,19,19,1000,modsi1000,0.004,0.519,N/A,N/A,N/A
custom_grid,361,bacon,bposd,19,19,1000,constant,0.008,0.491,N/A,N/A,N/A
custom_grid,361,bacon,bposd,19,19,1000,modsi1000,0.008,0.481,N/A,N/A,N/A
custom_grid,400,steane,bposd,9,9,1000,modsi1000,0.004,0.083,N/A,N/A,N/A
custom_grid,400,steane,bposd,9,9,1000,modsi1000,0.002,0.059,N/A,N/A,N/A
custom_grid,400,steane,bposd,9,9,1000,modsi1000,0.008,0.156,N/A,N/A,N/A
custom_grid,400,steane,bposd,9,9,1000,constant,0.004,0.212,N/A,N/A,N/A
custom_grid,400,steane,bposd,9,9,1000,constant,0.002,0.144,N/A,N/A,N/A
custom_grid,400,steane,bposd,9,9,1000,constant,0.008,0.316,N/A,N/A,N/A
