backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method
custom_full,350,gross,bposd,12,12,1000,constant,0.004,0.018000,N/A,N/A,N/A
custom_full,300,gross,bposd,12,12,1000,constant,0.004,0.027000,N/A,N/A,N/A
custom_full,400,gross,bposd,12,12,1000,constant,0.004,0.024000,N/A,N/A,N/A
custom_full,300,gross,bposd,12,12,1000,modsi1000,0.004,0.025000,N/A,N/A,N/A
custom_full,500,gross,bposd,12,12,1000,constant,0.004,0.027000,N/A,N/A,N/A
custom_full,350,gross,bposd,12,12,1000,modsi1000,0.004,0.029000,N/A,N/A,N/A
custom_full,450,gross,bposd,12,12,1000,constant,0.004,0.026000,N/A,N/A,N/A
custom_full,450,gross,bposd,12,12,1000,modsi1000,0.004,0.029000,N/A,N/A,N/A
custom_full,400,gross,bposd,12,12,1000,modsi1000,0.004,0.021000,N/A,N/A,N/A
custom_full,500,gross,bposd,12,12,1000,modsi1000,0.004,0.024000,N/A,N/A,N/A
custom_full,300,steane,bposd,9,9,1000,modsi1000,0.004,0.075000,N/A,N/A,N/A
custom_full,400,steane,bposd,9,9,1000,modsi1000,0.004,0.089000,N/A,N/A,N/A
custom_full,500,steane,bposd,9,9,1000,modsi1000,0.004,0.073000,N/A,N/A,N/A
custom_full,450,steane,bposd,9,9,1000,modsi1000,0.004,0.053000,N/A,N/A,N/A
custom_full,350,steane,bposd,9,9,1000,modsi1000,0.004,0.087000,N/A,N/A,N/A
custom_full,400,steane,bposd,9,9,1000,constant,0.004,0.304000,N/A,N/A,N/A
custom_full,300,steane,bposd,9,9,1000,constant,0.004,0.271000,N/A,N/A,N/A
custom_full,500,steane,bposd,9,9,1000,constant,0.004,0.287000,N/A,N/A,N/A
custom_full,350,steane,bposd,9,9,1000,constant,0.004,0.266000,N/A,N/A,N/A
custom_full,450,steane,bposd,9,9,1000,constant,0.004,0.318000,N/A,N/A,N/A
custom_full,300,surface,bposd,11,11,1000,modsi1000,0.004,0.004000,N/A,N/A,N/A
custom_full,350,surface,bposd,11,11,1000,modsi1000,0.004,0.002000,N/A,N/A,N/A
custom_full,350,surface,bposd,11,11,1000,constant,0.004,0.008000,N/A,N/A,N/A
custom_full,300,surface,bposd,11,11,1000,constant,0.004,0.007000,N/A,N/A,N/A
custom_full,300,hh,bposd,11,11,1000,modsi1000,0.004,0.145000,N/A,N/A,N/A
custom_full,400,hh,bposd,11,11,1000,modsi1000,0.004,0.127000,N/A,N/A,N/A
custom_full,350,hh,bposd,11,11,1000,modsi1000,0.004,0.132000,N/A,N/A,N/A
custom_full,400,hh,bposd,11,11,1000,constant,0.004,0.416000,N/A,N/A,N/A
custom_full,300,hh,bposd,11,11,1000,constant,0.004,0.450000,N/A,N/A,N/A
custom_full,350,hh,bposd,11,11,1000,constant,0.004,0.446000,N/A,N/A,N/A
custom_full,300,color,bposd,11,11,1000,modsi1000,0.004,0.062000,N/A,N/A,N/A
custom_full,350,color,bposd,11,11,1000,modsi1000,0.004,0.068000,N/A,N/A,N/A
custom_full,300,color,bposd,11,11,1000,constant,0.004,0.166000,N/A,N/A,N/A
custom_full,350,color,bposd,11,11,1000,constant,0.004,0.150000,N/A,N/A,N/A
custom_full,350,bacon,bposd,17,17,1000,constant,0.004,0.495000,N/A,N/A,N/A
custom_full,300,bacon,bposd,17,17,1000,constant,0.004,0.530000,N/A,N/A,N/A
custom_full,450,surface,bposd,13,13,1000,modsi1000,0.004,0.002000,N/A,N/A,N/A
custom_full,350,bacon,bposd,17,17,1000,modsi1000,0.004,0.503000,N/A,N/A,N/A
custom_full,400,surface,bposd,13,13,1000,modsi1000,0.004,0.000000,N/A,N/A,N/A
custom_full,300,bacon,bposd,17,17,1000,modsi1000,0.004,0.495000,N/A,N/A,N/A
