backend,backend_size,code,distance,cycles,state,translating_method,gate_set,original_total_gates,original_2q_gates,gate_overhead_mean,gate_overhead_var,tq_gate_overhead_mean,tq_gate_overhead_var
custom_full,300,bacon,17,17,,tket_2,h2,1666,1088,9316.0,0.0,0.0,0.0
custom_full,300,bacon,17,17,,tket_2,ibm_heron,1666,1088,14212.0,0.0,0.0,0.0
custom_full,300,color,11,11,,tket_2,h2,6360,5280,43905.0,0.0,0.0,0.0
custom_full,300,surface,11,11,,tket_2,h2,6160,4840,41360.0,0.0,0.0,0.0
custom_full,300,steane,9,9,,tket_2,h2,3121,2401,17104.0,0.0,0.0,0.0
custom_full,300,color,11,11,,tket_2,ibm_heron,6360,5280,70305.0,0.0,0.0,0.0
custom_full,300,gross,150,150,,tket_2,h2,12168,10368,85680.0,0.0,0.0,0.0
custom_full,300,hh,11,11,,tket_2,h2,8360,7040,58960.0,0.0,0.0,0.0
custom_full,300,surface,11,11,,tket_2,ibm_heron,6160,4840,65560.0,0.0,0.0,0.0
custom_full,300,steane,9,9,,tket_2,ibm_heron,3121,2401,29024.0,0.0,0.0,0.0
custom_full,300,gross,150,150,,tket_2,ibm_heron,12168,10368,137520.0,0.0,0.0,0.0
custom_full,300,hh,11,11,,tket_2,ibm_heron,8360,7040,94160.0,0.0,0.0,0.0
