backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method
variance_low_10,,steane,bposd,9,9,1000,variance,,0.086,N/A,N/A,N/A
variance_mid_1,,steane,bposd,9,9,1000,variance,,0.317,N/A,N/A,N/A
variance_low_10,,gross,bposd,12,12,1000,variance,,0.435,N/A,N/A,N/A
variance_low_1,,steane,bposd,9,9,1000,variance,,0.320,N/A,N/A,N/A
variance_high_1,,steane,bposd,9,9,1000,variance,,0.328,N/A,N/A,N/A
variance_mid_1,,gross,bposd,12,12,1000,variance,,0.999,N/A,N/A,N/A
variance_mid_10,,gross,bposd,12,12,1000,variance,,0.377,N/A,N/A,N/A
variance_low_1,,gross,bposd,12,12,1000,variance,,1.000,N/A,N/A,N/A
variance_high_1,,gross,bposd,12,12,1000,variance,,1.000,N/A,N/A,N/A
variance_low_1,,bacon,bposd,19,19,1000,variance,,0.485,N/A,N/A,N/A
variance_mid_10,,steane,bposd,9,9,1000,variance,,0.074,N/A,N/A,N/A
variance_high_10,,gross,bposd,12,12,1000,variance,,0.376,N/A,N/A,N/A
variance_high_10,,steane,bposd,9,9,1000,variance,,0.080,N/A,N/A,N/A
variance_low_10,,hh,bposd,11,11,1000,variance,,0.086,N/A,N/A,N/A
variance_mid_1,,hh,bposd,11,11,1000,variance,,0.500,N/A,N/A,N/A
variance_low_1,,hh,bposd,11,11,1000,variance,,0.504,N/A,N/A,N/A
variance_high_1,,hh,bposd,11,11,1000,variance,,0.497,N/A,N/A,N/A
variance_mid_10,,hh,bposd,11,11,1000,variance,,0.064,N/A,N/A,N/A
variance_mid_1,,bacon,bposd,19,19,1000,variance,,0.500,N/A,N/A,N/A
variance_none_1,,gross,bposd,12,12,1000,variance,,1.000,N/A,N/A,N/A
variance_none_10,,gross,bposd,12,12,1000,variance,,0.301,N/A,N/A,N/A
variance_none_1,,steane,bposd,9,9,1000,variance,,0.300,N/A,N/A,N/A
variance_high_10,,hh,bposd,11,11,1000,variance,,0.038,N/A,N/A,N/A
variance_low_10,,bacon,bposd,19,19,1000,variance,,0.512,N/A,N/A,N/A
variance_high_1,,bacon,bposd,19,19,1000,variance,,0.509,N/A,N/A,N/A
variance_none_10,,steane,bposd,9,9,1000,variance,,0.105,N/A,N/A,N/A
variance_low_10,,surface,bposd,13,13,1000,variance,,0.070,N/A,N/A,N/A
variance_low_1,,surface,bposd,13,13,1000,variance,,0.498,N/A,N/A,N/A
variance_high_1,,surface,bposd,13,13,1000,variance,,0.489,N/A,N/A,N/A
variance_mid_10,,bacon,bposd,19,19,1000,variance,,0.512,N/A,N/A,N/A
variance_mid_1,,surface,bposd,13,13,1000,variance,,0.489,N/A,N/A,N/A
variance_mid_10,,surface,bposd,13,13,1000,variance,,0.056,N/A,N/A,N/A
variance_none_1,,hh,bposd,11,11,1000,variance,,0.497,N/A,N/A,N/A
variance_high_10,,bacon,bposd,19,19,1000,variance,,0.505,N/A,N/A,N/A
variance_none_10,,hh,bposd,11,11,1000,variance,,0.065,N/A,N/A,N/A
variance_high_10,,surface,bposd,13,13,1000,variance,,0.017,N/A,N/A,N/A
variance_none_1,,bacon,bposd,19,19,1000,variance,,0.492,N/A,N/A,N/A
variance_none_1,,surface,bposd,13,13,1000,variance,,0.493,N/A,N/A,N/A
variance_none_10,,surface,bposd,13,13,1000,variance,,0.050,N/A,N/A,N/A
variance_none_10,,bacon,bposd,19,19,1000,variance,,0.488,N/A,N/A,N/A
variance_mid_1,,color,bposd,13,13,1000,variance,,0.494,N/A,N/A,N/A
variance_low_10,,color,bposd,13,13,1000,variance,,0.341,N/A,N/A,N/A
variance_low_1,,color,bposd,13,13,1000,variance,,0.502,N/A,N/A,N/A
variance_high_1,,color,bposd,13,13,1000,variance,,0.534,N/A,N/A,N/A
variance_high_10,,color,bposd,13,13,1000,variance,,0.222,N/A,N/A,N/A
variance_mid_10,,color,bposd,13,13,1000,variance,,0.315,N/A,N/A,N/A
variance_none_1,,color,bposd,13,13,1000,variance,,0.503,N/A,N/A,N/A
variance_none_10,,color,bposd,13,13,1000,variance,,0.290,N/A,N/A,N/A
