backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method
variance_none_1,,steane,bposd,9,9,1000,variance_low,,0.314,N/A,N/A,N/A
variance_none_1,,steane,bposd,9,9,1000,variance_high,,0.319,N/A,N/A,N/A
variance_none_1,,steane,bposd,9,9,1000,variance_mid,,0.318,N/A,N/A,N/A
variance_none_1,,gross,bposd,12,12,1000,variance_low,,0.998,N/A,N/A,N/A
variance_none_1,,gross,bposd,12,12,1000,variance_high,,1.000,N/A,N/A,N/A
variance_none_1,,gross,bposd,12,12,1000,variance_mid,,1.000,N/A,N/A,N/A
variance_none_1,,bacon,bposd,19,19,1000,variance_low,,0.482,N/A,N/A,N/A
variance_none_1,,bacon,bposd,19,19,1000,variance_mid,,0.507,N/A,N/A,N/A
variance_none_1,,bacon,bposd,19,19,1000,variance_high,,0.487,N/A,N/A,N/A
variance_none_1,,hh,bposd,11,11,1000,variance_low,,0.498,N/A,N/A,N/A
variance_none_1,,hh,bposd,11,11,1000,variance_high,,0.527,N/A,N/A,N/A
variance_none_1,,hh,bposd,11,11,1000,variance_mid,,0.481,N/A,N/A,N/A
variance_none_1,,surface,bposd,13,13,1000,variance_high,,0.502,N/A,N/A,N/A
variance_none_1,,surface,bposd,13,13,1000,variance_mid,,0.535,N/A,N/A,N/A
variance_none_1,,surface,bposd,13,13,1000,variance_low,,0.484,N/A,N/A,N/A
variance_none_1,,color,bposd,13,13,1000,variance_mid,,0.478,N/A,N/A,N/A
variance_none_1,,color,bposd,13,13,1000,variance_low,,0.482,N/A,N/A,N/A
variance_none_1,,color,bposd,13,13,1000,variance_high,,0.519,N/A,N/A,N/A
