backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method
variance_mid_1,,gross,bposd,12,12,1000,constant,0.001,0.000,N/A,N/A,N/A
variance_high_1,,gross,bposd,12,12,1000,constant,0.001,0.000,N/A,N/A,N/A
variance_low_10,,gross,bposd,12,12,1000,constant,0.001,0.000,N/A,N/A,N/A
variance_low_1,,gross,bposd,12,12,1000,constant,0.001,0.000,N/A,N/A,N/A
variance_mid_10,,gross,bposd,12,12,1000,constant,0.001,0.000,N/A,N/A,N/A
variance_mid_1,,steane,bposd,9,9,1000,constant,0.001,0.074,N/A,N/A,N/A
variance_high_1,,steane,bposd,9,9,1000,constant,0.001,0.074,N/A,N/A,N/A
variance_low_1,,steane,bposd,9,9,1000,constant,0.001,0.077,N/A,N/A,N/A
variance_high_10,,gross,bposd,12,12,1000,constant,0.001,0.000,N/A,N/A,N/A
variance_low_10,,steane,bposd,9,9,1000,constant,0.001,0.082,N/A,N/A,N/A
variance_mid_10,,steane,bposd,9,9,1000,constant,0.001,0.063,N/A,N/A,N/A
variance_high_1,,surface,bposd,13,13,1000,constant,0.001,0.000,N/A,N/A,N/A
variance_low_1,,surface,bposd,13,13,1000,constant,0.001,0.000,N/A,N/A,N/A
variance_mid_10,,surface,bposd,13,13,1000,constant,0.001,0.000,N/A,N/A,N/A
variance_low_10,,surface,bposd,13,13,1000,constant,0.001,0.000,N/A,N/A,N/A
variance_high_10,,steane,bposd,9,9,1000,constant,0.001,0.085,N/A,N/A,N/A
variance_mid_1,,surface,bposd,13,13,1000,constant,0.001,0.000,N/A,N/A,N/A
variance_high_10,,surface,bposd,13,13,1000,constant,0.001,0.000,N/A,N/A,N/A
variance_high_1,,hh,bposd,11,11,1000,constant,0.001,0.005,N/A,N/A,N/A
variance_low_10,,hh,bposd,11,11,1000,constant,0.001,0.007,N/A,N/A,N/A
variance_low_1,,hh,bposd,11,11,1000,constant,0.001,0.002,N/A,N/A,N/A
variance_mid_1,,hh,bposd,11,11,1000,constant,0.001,0.007,N/A,N/A,N/A
variance_mid_10,,hh,bposd,11,11,1000,constant,0.001,0.011,N/A,N/A,N/A
variance_high_10,,hh,bposd,11,11,1000,constant,0.001,0.008,N/A,N/A,N/A
variance_mid_10,,bacon,bposd,19,19,1000,constant,0.001,0.159,N/A,N/A,N/A
variance_low_1,,bacon,bposd,19,19,1000,constant,0.001,0.179,N/A,N/A,N/A
variance_low_10,,bacon,bposd,19,19,1000,constant,0.001,0.153,N/A,N/A,N/A
variance_mid_1,,bacon,bposd,19,19,1000,constant,0.001,0.164,N/A,N/A,N/A
variance_high_1,,bacon,bposd,19,19,1000,constant,0.001,0.181,N/A,N/A,N/A
variance_high_10,,bacon,bposd,19,19,1000,constant,0.001,0.155,N/A,N/A,N/A
variance_low_1,,color,bposd,13,13,1000,constant,0.001,0.000,N/A,N/A,N/A
variance_high_10,,color,bposd,13,13,1000,constant,0.001,0.001,N/A,N/A,N/A
variance_mid_1,,color,bposd,13,13,1000,constant,0.001,0.000,N/A,N/A,N/A
variance_mid_10,,color,bposd,13,13,1000,constant,0.001,0.000,N/A,N/A,N/A
variance_high_1,,color,bposd,13,13,1000,constant,0.001,0.000,N/A,N/A,N/A
variance_low_10,,color,bposd,13,13,1000,constant,0.001,0.000,N/A,N/A,N/A
